run,day,name,infectious,recovered,susceptiple,vaccinated
1,1,Deggendorf,1,0,26999,3000
1,2,Deggendorf,5,0,26995,3000
1,3,Deggendorf,10,0,26990,3000
1,4,Deggendorf,28,0,26972,3000
1,5,Deggendorf,73,5,26922,3000
1,6,Deggendorf,184,10,26806,3000
1,7,Deggendorf,479,28,26493,3000
1,8,Deggendorf,1350,78,25572,3000
1,9,Deggendorf,3612,194,23194,3000
1,10,Deggendorf,7970,507,18523,3000
1,11,Deggendorf,13855,1428,11717,3000
1,12,Deggendorf,17263,3806,5931,3000
1,13,Deggendorf,15803,8477,2720,3000
1,14,Deggendorf,10296,15283,1421,3000
1,15,Deggendorf,5033,21069,898,3000
1,16,Deggendorf,1978,24280,742,3000
1,17,Deggendorf,740,25579,681,3000
1,18,Deggendorf,238,26102,660,3000
1,19,Deggendorf,87,26258,655,3000
1,20,Deggendorf,31,26319,650,3000
1,21,Deggendorf,10,26340,650,3000
1,22,Deggendorf,5,26345,650,3000
1,22,Deggendorf,0,26350,650,3000
2,1,Deggendorf,1,0,26999,3000
2,2,Deggendorf,5,0,26995,3000
2,3,Deggendorf,10,0,26990,3000
2,4,Deggendorf,28,0,26972,3000
2,5,Deggendorf,73,5,26922,3000
2,6,Deggendorf,184,10,26806,3000
2,7,Deggendorf,479,28,26493,3000
2,8,Deggendorf,1350,78,25572,3000
2,9,Deggendorf,3612,194,23194,3000
2,10,Deggendorf,7970,507,18523,3000
2,11,Deggendorf,13855,1428,11717,3000
2,12,Deggendorf,17263,3806,5931,3000
2,13,Deggendorf,15803,8477,2720,3000
2,14,Deggendorf,10296,15283,1421,3000
2,15,Deggendorf,5033,21069,898,3000
2,16,Deggendorf,1978,24280,742,3000
2,17,Deggendorf,740,25579,681,3000
2,18,Deggendorf,238,26102,660,3000
2,19,Deggendorf,87,26258,655,3000
2,20,Deggendorf,31,26319,650,3000
2,21,Deggendorf,10,26340,650,3000
2,22,Deggendorf,5,26345,650,3000
2,22,Deggendorf,0,26350,650,3000
3,1,Deggendorf,1,0,26999,3000
3,2,Deggendorf,4,0,26996,3000
3,3,Deggendorf,17,0,26983,3000
3,4,Deggendorf,37,0,26963,3000
3,5,Deggendorf,98,4,26898,3000
3,6,Deggendorf,273,17,26710,3000
3,7,Deggendorf,811,37,26152,3000
3,8,Deggendorf,2204,102,24694,3000
3,9,Deggendorf,5290,290,21420,3000
3,10,Deggendorf,10517,848,15635,3000
3,11,Deggendorf,15813,2306,8881,3000
3,12,Deggendorf,17078,5580,4342,3000
3,13,Deggendorf,13566,11365,2069,3000
3,14,Deggendorf,7662,18119,1219,3000
3,15,Deggendorf,3455,22658,887,3000
3,16,Deggendorf,1296,24931,773,3000
3,17,Deggendorf,478,25781,741,3000
3,18,Deggendorf,160,26113,727,3000
3,19,Deggendorf,52,26227,721,3000
3,20,Deggendorf,21,26259,720,3000
3,21,Deggendorf,8,26273,719,3000
3,22,Deggendorf,2,26279,719,3000
3,23,Deggendorf,1,26280,719,3000
3,23,Deggendorf,0,26281,719,3000
4,1,Deggendorf,1,0,26999,3000
4,2,Deggendorf,4,0,26996,3000
4,3,Deggendorf,17,0,26983,3000
4,4,Deggendorf,37,0,26963,3000
4,5,Deggendorf,98,4,26898,3000
4,6,Deggendorf,273,17,26710,3000
4,7,Deggendorf,811,37,26152,3000
4,8,Deggendorf,2204,102,24694,3000
4,9,Deggendorf,5290,290,21420,3000
4,10,Deggendorf,10517,848,15635,3000
4,11,Deggendorf,15813,2306,8881,3000
4,12,Deggendorf,17078,5580,4342,3000
4,13,Deggendorf,13566,11365,2069,3000
4,14,Deggendorf,7662,18119,1219,3000
4,15,Deggendorf,3455,22658,887,3000
4,16,Deggendorf,1296,24931,773,3000
4,17,Deggendorf,478,25781,741,3000
4,18,Deggendorf,160,26113,727,3000
4,19,Deggendorf,52,26227,721,3000
4,20,Deggendorf,21,26259,720,3000
4,21,Deggendorf,8,26273,719,3000
4,22,Deggendorf,2,26279,719,3000
4,23,Deggendorf,1,26280,719,3000
4,23,Deggendorf,0,26281,719,3000
5,1,Deggendorf,1,0,26999,3000
5,2,Deggendorf,2,0,26998,3000
5,3,Deggendorf,7,0,26993,3000
5,4,Deggendorf,17,0,26983,3000
5,5,Deggendorf,41,2,26957,3000
5,6,Deggendorf,97,7,26896,3000
5,7,Deggendorf,318,17,26665,3000
5,8,Deggendorf,867,43,26090,3000
5,9,Deggendorf,2251,104,24645,3000
5,10,Deggendorf,5513,335,21152,3000
5,11,Deggendorf,10891,910,15199,3000
5,12,Deggendorf,15922,2355,8723,3000
5,13,Deggendorf,16948,5848,4204,3000
5,14,Deggendorf,13183,11801,2016,3000
5,15,Deggendorf,7549,18277,1174,3000
5,16,Deggendorf,3366,22796,838,3000
5,17,Deggendorf,1295,24984,721,3000
5,18,Deggendorf,493,25826,681,3000
5,19,Deggendorf,171,26162,667,3000
5,20,Deggendorf,61,26279,660,3000
5,21,Deggendorf,24,26319,657,3000
5,22,Deggendorf,10,26333,657,3000
5,23,Deggendorf,4,26340,656,3000
5,24,Deggendorf,1,26343,656,3000
5,25,Deggendorf,1,26343,656,3000
5,25,Deggendorf,0,26344,656,3000
